SampleId,样本,版本,Image,Length,ProjArea,SurfArea,AvgDiam,Volume,Tips,Forks,Crossings,RegionArea
00000-001-man,00000-001,人工,00000-001-man.tif,192.3906,11.7245,36.8336,0.6094,0.561,212.0,306.0,5.0,420.5435
00000-1-mac,00000-1,机器mac,00000-001-mac.tif,196.7712,14.4067,45.2598,0.7322,0.828,190.0,168.0,0.0,480.254
126-003-man,126-003,人工,126-003-man.tif,227.1076,24.1333,75.8171,1.0626,2.014,589.0,572.0,17.0,530.7138
126-003-mac,126-003,机器mac,126-003-mac.tif,237.5605,23.4258,73.5944,0.9861,1.814,825.0,593.0,7.0,451.3434
134-003-man,134-003,人工,134-003-man.tif,164.2201,7.9305,24.9143,0.4829,0.301,391.0,439.0,17.0,489.5105
134-003-mac,134-003,机器mac,134-003-mac.tif,164.2008,7.2961,22.9213,0.4443,0.255,481.0,269.0,7.0,409.6277
218-003-unet,218-003,U-Net,281-003_UNet.tif,307.3824,15.0691,47.341,0.4902,0.58,964.0,1014.0,47.0,463.4873
22-001-man,22-001,人工,22-001-man.tif,168.0239,12.691,39.8698,0.7553,0.753,446.0,1258.0,70.0,474.8077
22-001-mac,22-001,机器mac,22-001-mac.tif,156.8061,12.3266,38.7252,0.7861,0.761,305.0,242.0,4.0,482.6536
28-CL-003-man,28-CL-003,人工,28-CL-003-man.tif,26.1947,2.6663,8.3764,1.0179,0.213,29.0,67.0,5.0,184.4206
28-CL-003-mac,28-CL-003,机器mac,28-CL-003-mac.tif,26.0366,2.4334,7.6447,0.9346,0.179,53.0,27.0,0.0,70.5058
281-003-unet,281-003,U-Net,281-003_A_补齐标签.tif,292.0604,13.8158,43.4037,0.473,0.513,969.0,686.0,22.0,496.3544
281-003-man,281-003,人工,281-003-man.tif,313.525,15.2724,47.9797,0.4871,0.584,878.0,1144.0,48.0,497.4176
281-003-mac,281-003,机器mac,281-003-mac.tif,292.0604,13.8158,43.4037,0.473,0.513,969.0,686.0,22.0,472.0968
44-001-man,44-001,人工,44-001-man.tif,259.1025,15.1483,47.5898,0.5846,0.696,673.0,1758.0,45.0,524.243
44-001-mac,44-001,机器mac,44-001-mac.tif,244.6768,15.4491,48.5349,0.6314,0.766,494.0,371.0,6.0,536.3276
46-002-mac,46-002,机器mac,46-002-mac.tif,258.2653,13.6425,42.8592,0.5282,0.566,717.0,684.0,12.0,473.4094
66-003-man,66-003,人工,66-003-man.tif,165.7807,7.5236,23.6362,0.4538,0.268,680.0,1538.0,109.0,460.5451
66-003-mac,66-003,机器mac,66-003-mac.tif,135.7742,6.3847,20.058,0.4702,0.236,591.0,254.0,10.0,454.2392
7-001-man,7-001,人工,7-001-man.tif,153.9596,11.6356,36.5544,0.7558,0.691,225.0,528.0,9.0,365.4028
7-001-mac,7-001,机器mac,7-001-mac.tif,158.4375,10.9968,34.5476,0.6941,0.599,316.0,230.0,3.0,447.5274
7-002-man,7-002,人工,7-002-man.tif,99.6798,8.5633,26.9024,0.8591,0.578,118.0,145.0,0.0,369.2279
7-002-mac,7-002,机器mac,7-002-mac.tif,109.9737,9.2244,28.9794,0.8388,0.608,190.0,201.0,4.0,369.7756
7-003-unet,7-003,U-Net,7-003_UNet.tif,236.3804,17.6568,55.4704,0.747,1.036,449.0,796.0,11.0,452.3525
7-003-man-9.22,7-003,人工,7-003-man-9.22.tif,221.15,12.7997,40.2113,0.5788,0.582,408.0,626.0,15.0,429.894
7-003-mac-9.22,7-003,机器mac,7-003-mac.tif,234.7738,15.3221,48.1357,0.6526,0.785,374.0,361.0,1.0,428.2296
7003auto,7003auto,?,7-003_auto.jpg,245.4174,14.9536,46.9781,0.6093,0.716,629.0,848.0,6.0,446.7129
7003auto2-tiff,7003auto2-tiff,?,7-003_auto2.tif,237.1383,12.5217,39.3382,0.528,0.519,767.0,770.0,12.0,421.443
7003man,7003man,?,7-003-man.tif,221.15,12.7997,40.2113,0.5788,0.582,408.0,626.0,15.0,425.8273
7003man,7003man,?,7-003-man.tif,221.15,12.7997,40.2113,0.5788,0.582,408.0,626.0,15.0,463.5376
G218-001-unet,G218-001,U-Net,G218-001_UNet.tif,211.0499,6.8434,21.4993,0.3243,0.174,1061.0,494.0,18.0,511.648
G218-001-man,G218-001,人工,G218-001-man.tif,234.7201,7.2866,22.8914,0.3104,0.178,1777.0,959.0,40.0,490.622
G218-001-MAC,G218-001,机器mac,G218-001-mac.tif,149.0034,4.3374,13.6262,0.2911,0.099,939.0,185.0,4.0,499.3095
