halo,shrink,open,close,IoU,recall,precision,面积倍数,宽度比,长度比
0,0,0,0,0.6727,0.8655,0.7545,1.168,1.041,1.13
0,0,0,2,0.6764,0.8805,0.7478,1.2,1.153,1.112
0,0,1,0,0.6732,0.8649,0.7557,1.165,1.062,1.105
0,0,1,2,0.677,0.8798,0.7491,1.197,1.153,1.085
0,1,0,0,0.6503,0.7895,0.7913,1.011,0.939,1.197
0,1,0,2,0.6575,0.803,0.7885,1.033,0.995,1.13
0,1,1,0,0.6474,0.7802,0.7968,0.992,0.987,0.965
0,1,1,2,0.655,0.7945,0.7937,1.015,1.041,0.981
0,2,0,0,0.5811,0.6697,0.8153,0.824,0.921,0.98
0,2,0,2,0.5811,0.6697,0.8153,0.824,0.921,0.98
0,2,1,0,0.5749,0.6605,0.816,0.811,0.93,0.841
0,2,1,2,0.5749,0.6605,0.816,0.811,0.93,0.841
0,3,0,0,0.5147,0.5753,0.8208,0.695,0.88,0.861
0,3,0,2,0.5147,0.5753,0.8208,0.695,0.88,0.861
0,3,1,0,0.5061,0.5636,0.8201,0.679,0.94,0.713
0,3,1,2,0.5061,0.5636,0.8201,0.679,0.94,0.713
1,0,0,0,0.6727,0.8655,0.7545,1.168,1.041,1.13
1,0,0,2,0.6764,0.8805,0.7478,1.2,1.153,1.112
1,0,1,0,0.6732,0.8649,0.7557,1.165,1.062,1.105
1,0,1,2,0.677,0.8798,0.7491,1.197,1.153,1.085
1,1,0,0,0.6503,0.7895,0.7913,1.011,0.939,1.197
1,1,0,2,0.6575,0.803,0.7885,1.033,0.995,1.13
1,1,1,0,0.6474,0.7802,0.7968,0.992,0.987,0.965
1,1,1,2,0.655,0.7945,0.7937,1.015,1.041,0.981
1,2,0,0,0.5811,0.6697,0.8153,0.824,0.921,0.98
1,2,0,2,0.5811,0.6697,0.8153,0.824,0.921,0.98
1,2,1,0,0.5749,0.6605,0.816,0.811,0.93,0.841
1,2,1,2,0.5749,0.6605,0.816,0.811,0.93,0.841
1,3,0,0,0.5147,0.5753,0.8208,0.695,0.88,0.861
1,3,0,2,0.5147,0.5753,0.8208,0.695,0.88,0.861
1,3,1,0,0.5061,0.5636,0.8201,0.679,0.94,0.713
1,3,1,2,0.5061,0.5636,0.8201,0.679,0.94,0.713
