序号,样本,子目录,画布,根占比CV%,根占比UNet%,TIFF,JPG,TIFF_MB,JPG_MB
1,11-QG-003,杉阔混交林\F,14946x7244,0.3389,0.4997,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\1_11-QG-003_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\1_11-QG-003_原图-CV-UNet.jpg,324.8,7.3
2,20-CL-001,杉阔混交林\F,14946x7245,0.2294,0.35,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\2_20-CL-001_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\2_20-CL-001_原图-CV-UNet.jpg,324.9,8.9
3,14-B-GP-001,杉阔混交林\F补,14946x7245,0.744,0.9344,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\3_14-B-GP-001_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\3_14-B-GP-001_原图-CV-UNet.jpg,324.9,10.2
4,74-003,数据集2\多样性林\9.11,21117x5188,1.7988,1.8827,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\4_74-003_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\4_74-003_原图-CV-UNet.jpg,328.7,15.0
5,270-001,数据集2\多样性林\9.11,21117x5188,1.6645,2.0625,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\5_270-001_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\5_270-001_原图-CV-UNet.jpg,328.7,15.1
6,37-CL-004,杉阔混交林\F,14946x7245,0.398,0.5398,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\6_37-CL-004_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\6_37-CL-004_原图-CV-UNet.jpg,324.9,9.2
7,90-001,数据集2\9.15,21117x5188,2.1109,2.4032,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\7_90-001_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\7_90-001_原图-CV-UNet.jpg,328.7,16.6
8,32-MZ-002,杉阔混交林\F,14946x7245,0.3242,0.4955,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\8_32-MZ-002_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\8_32-MZ-002_原图-CV-UNet.jpg,324.9,9.4
9,34-CL-004,杉阔混交林\F,14946x7245,1.7544,2.1008,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\9_34-CL-004_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\9_34-CL-004_原图-CV-UNet.jpg,324.9,11.8
10,25-B-CL-002,杉阔混交林\F补,14946x7245,0.5452,0.6217,D:\根系分割项目\outputs\对比十张\全分辨率_TIFF\10_25-B-CL-002_原图-CV-UNet.tif,D:\根系分割项目\outputs\对比十张\全分辨率_JPG\10_25-B-CL-002_原图-CV-UNet.jpg,324.9,9.5
