序号,样本,数据集,子目录,原图,CV,UNet,CV根占比%,UNet根占比%,倍数UNet/CV
1,11-QG-003,杉阔混交林,杉阔混交林\F,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\11-QG-003.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\11-QG-003-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\11-QG-003-mac.tif,0.3389,0.4997,1.47
2,20-CL-001,杉阔混交林,杉阔混交林\F,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\20-CL-001.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\20-CL-001-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\20-CL-001-mac.tif,0.2294,0.35,1.53
3,14-B-GP-001,杉阔混交林,杉阔混交林\F补,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F补\14-B-GP-001.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F补\14-B-GP-001-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F补\14-B-GP-001-mac.tif,0.744,0.9344,1.26
4,74-003,数据集2,数据集2\多样性林\9.11,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\多样性林\9.11\74-003.jpg,D:\根系分割项目\机器图_CV\数据集2\多样性林\9.11\74-003-mac.tif,D:\根系分割项目\机器图_UNet\数据集2\多样性林\9.11\74-003-unet.tif,1.7988,1.8827,1.05
5,270-001,数据集2,数据集2\多样性林\9.11,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\多样性林\9.11\270-001.jpg,D:\根系分割项目\机器图_CV\数据集2\多样性林\9.11\270-001-mac.tif,D:\根系分割项目\机器图_UNet\数据集2\多样性林\9.11\270-001-unet.tif,1.6645,2.0625,1.24
6,37-CL-004,杉阔混交林,杉阔混交林\F,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\37-CL-004.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\37-CL-004-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\37-CL-004-mac.tif,0.398,0.5398,1.36
7,90-001,数据集2,数据集2\9.15,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\9.15\90-001.jpg,D:\根系分割项目\机器图_CV\数据集2\9.15\90-001-mac.tif,D:\根系分割项目\机器图_UNet\数据集2\9.15\90-001-unet.tif,2.1109,2.4032,1.14
8,32-MZ-002,杉阔混交林,杉阔混交林\F,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\32-MZ-002.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\32-MZ-002-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\32-MZ-002-mac.tif,0.3242,0.4955,1.53
9,34-CL-004,杉阔混交林,杉阔混交林\F,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\34-CL-004.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\34-CL-004-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\34-CL-004-mac.tif,1.7544,2.1008,1.2
10,25-B-CL-002,杉阔混交林,杉阔混交林\F补,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F补\25-B-CL-002.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F补\25-B-CL-002-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F补\25-B-CL-002-mac.tif,0.5452,0.6217,1.14
