序号,样本,子目录,尺寸,dpi,原图路径,复制到,MB
1,11-QG-003,杉阔混交林\F,2481x3509,300,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\11-QG-003.jpg,D:\根系分割项目\outputs\对比十张\原图\1_11-QG-003.jpg,0.7
2,20-CL-001,杉阔混交林\F,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\20-CL-001.jpg,D:\根系分割项目\outputs\对比十张\原图\2_20-CL-001.jpg,2.8
3,14-B-GP-001,杉阔混交林\F补,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F补\14-B-GP-001.jpg,D:\根系分割项目\outputs\对比十张\原图\3_14-B-GP-001.jpg,3.1
4,74-003,数据集2\多样性林\9.11,7019x4962,600,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\多样性林\9.11\74-003.jpg,D:\根系分割项目\outputs\对比十张\原图\4_74-003.jpg,19.9
5,270-001,数据集2\多样性林\9.11,7019x4962,600,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\多样性林\9.11\270-001.jpg,D:\根系分割项目\outputs\对比十张\原图\5_270-001.jpg,19.8
6,37-CL-004,杉阔混交林\F,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\37-CL-004.jpg,D:\根系分割项目\outputs\对比十张\原图\6_37-CL-004.jpg,2.8
7,90-001,数据集2\9.15,7019x4962,600,C:\Users\LIHAOYANG\Desktop\扫描\原始图片\9.15\90-001.jpg,D:\根系分割项目\outputs\对比十张\原图\7_90-001.jpg,21.3
8,32-MZ-002,杉阔混交林\F,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\32-MZ-002.jpg,D:\根系分割项目\outputs\对比十张\原图\8_32-MZ-002.jpg,2.9
9,34-CL-004,杉阔混交林\F,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F\34-CL-004.jpg,D:\根系分割项目\outputs\对比十张\原图\9_34-CL-004.jpg,3.3
10,25-B-CL-002,杉阔混交林\F补,4962x7019,600,C:\Users\LIHAOYANG\Desktop\杉阔混交林\F补\25-B-CL-002.jpg,D:\根系分割项目\outputs\对比十张\原图\10_25-B-CL-002.jpg,3.0
