口径,GT,ME,IoU,recall,precision,漏检%,误检%,样本
原口径（含边框+浅灰污染）,4660821,1296909,0.1579,0.1743,0.6266,82.57,37.34,00000-001
裁边框后,2825494,1239195,0.2281,0.2672,0.6092,73.28,39.08,00000-001
裁边框+只取深色真根,835893,1239195,0.5046,0.8325,0.5616,16.75,43.84,00000-001
原口径（含边框+浅灰污染）,2026580,1031863,0.3492,0.3906,0.7671,60.94,23.29,22-001
裁边框后,810771,1001140,0.7267,0.9406,0.7617,5.94,23.83,22-001
裁边框+只取深色真根,723809,1001140,0.7003,0.9815,0.7096,1.85,29.04,22-001
原口径（含边框+浅灰污染）,2708227,1435816,0.3072,0.3596,0.6783,64.04,32.17,44-001
裁边框后,1225793,1400271,0.5561,0.7656,0.6702,23.44,32.98,44-001
裁边框+只取深色真根,1008604,1400271,0.5629,0.8602,0.6196,13.98,38.04,44-001
原口径（含边框+浅灰污染）,1916020,1309743,0.3531,0.4393,0.6427,56.07,35.73,46-002
裁边框后,840980,1261622,0.6223,0.9591,0.6393,4.09,36.07,46-002
裁边框+只取深色真根,690898,1261622,0.5402,0.9911,0.5428,0.89,45.72,46-002
原口径（含边框+浅灰污染）,705085,1097417,0.6224,0.9808,0.6301,1.92,36.99,7-001
裁边框后,704907,1012106,0.6743,0.981,0.6833,1.9,31.67,7-001
裁边框+只取深色真根,660221,1012106,0.6421,0.9904,0.6461,0.96,35.39,7-001
原口径（含边框+浅灰污染）,509497,821279,0.6079,0.9875,0.6126,1.25,38.74,7-002
裁边框后,509355,746947,0.668,0.9878,0.6736,1.22,32.64,7-002
裁边框+只取深色真根,481862,746947,0.6374,0.9927,0.6404,0.73,35.96,7-002
原口径（含边框+浅灰污染）,751731,1459693,0.5024,0.9837,0.5066,1.63,49.34,7-003
裁边框后,751629,1382603,0.5302,0.9839,0.5349,1.61,46.51,7-003
裁边框+只取深色真根,725678,1382603,0.5198,0.9936,0.5215,0.64,47.85,7-003
