rel_path,batch,name,ext,MB,w,h,mode,dpi,mm_w,mm_h
图片\9.15\114-B-002.jpg,9.15,114-B-002.jpg,.jpg,18.37,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\126-001.jpg,9.15,126-001.jpg,.jpg,20.19,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\126-002.jpg,9.15,126-002.jpg,.jpg,20.06,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\126-003.jpg,9.15,126-003.jpg,.jpg,20.02,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\134-002.jpg,9.15,134-002.jpg,.jpg,20.3,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\136-001.jpg,9.15,136-001.jpg,.jpg,18.71,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\136-002.jpg,9.15,136-002.jpg,.jpg,18.95,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\136-003.jpg,9.15,136-003.jpg,.jpg,20.41,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\146-001.jpg,9.15,146-001.jpg,.jpg,20.26,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\146-002.jpg,9.15,146-002.jpg,.jpg,20.27,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\146-B-003.jpg,9.15,146-B-003.jpg,.jpg,18.38,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\160-001.jpg,9.15,160-001.jpg,.jpg,18.49,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\160-002.jpg,9.15,160-002.jpg,.jpg,18.96,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\160-003.jpg,9.15,160-003.jpg,.jpg,18.62,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\162-001.jpg,9.15,162-001.jpg,.jpg,20.14,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\162-002.jpg,9.15,162-002.jpg,.jpg,19.9,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\162-B.jpg,9.15,162-B.jpg,.jpg,18.05,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\166-002.jpg,9.15,166-002.jpg,.jpg,20.3,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\166-003.jpg,9.15,166-003.jpg,.jpg,20.21,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\220-B-004.jpg,9.15,220-B-004.jpg,.jpg,18.09,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\245-002.jpg,9.15,245-002.jpg,.jpg,18.31,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\299-001.jpg,9.15,299-001.jpg,.jpg,18.38,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\44-B.jpg,9.15,44-B.jpg,.jpg,18.64,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\52-B-002.jpg,9.15,52-B-002.jpg,.jpg,18.39,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\83-B.jpg,9.15,83-B.jpg,.jpg,18.46,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\88-001.jpg,9.15,88-001.jpg,.jpg,20.51,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\88-002.jpg,9.15,88-002.jpg,.jpg,18.7,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\88-003.jpg,9.15,88-003.jpg,.jpg,20.09,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\90-001.jpg,9.15,90-001.jpg,.jpg,20.32,7019,4962,RGB,600x600,297.1,210.1
图片\9.15\90-002.jpg,9.15,90-002.jpg,.jpg,20.04,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\1001-001.jpg,9.8校准,1001-001.jpg,.jpg,19.54,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\1001-002.jpg,9.8校准,1001-002.jpg,.jpg,18.97,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\1001-003.jpg,9.8校准,1001-003.jpg,.jpg,19.65,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\13-GG-004.jpg,9.8校准,13-GG-004.jpg,.jpg,19.75,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\16-NS-003.jpg,9.8校准,16-NS-003.jpg,.jpg,19.23,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\20-CL-002.jpg,9.8校准,20-CL-002.jpg,.jpg,20.13,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\2005-001.jpg,9.8校准,2005-001.jpg,.jpg,19.74,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\2005-002.jpg,9.8校准,2005-002.jpg,.jpg,20.0,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\2005-003.jpg,9.8校准,2005-003.jpg,.jpg,20.08,7019,4962,RGB,600x600,297.1,210.1
图片\9.8校准\21-CL-001.jpg,9.8校准,21-CL-001.jpg,.jpg,20.14,7019,4962,RGB,600x600,297.1,210.1
