src,rel,root_gray,root_sat,root_width_px,shadow_pct,fg_pct,root_pct
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\114-B-002.jpg,9.15\114-B-002.jpg,101.0,0.1608,14.04,1.971,9.522,2.78
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\126-001.jpg,9.15\126-001.jpg,87.0,0.1922,30.08,3.338,13.861,7.803
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\126-002.jpg,9.15\126-002.jpg,83.0,0.2471,22.03,2.663,10.489,5.071
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\134-002.jpg,9.15\134-002.jpg,105.0,0.3294,14.04,5.193,13.829,4.042
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\126-003.jpg,9.15\126-003.jpg,96.0,0.1569,30.08,4.894,17.268,7.789
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-002.jpg,9.15\136-002.jpg,72.0,0.1412,20.05,4.449,14.724,7.478
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-003.jpg,9.15\136-003.jpg,80.0,0.1176,14.04,3.321,10.804,4.089
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-001.jpg,9.15\136-001.jpg,91.0,0.1451,14.04,3.706,15.573,5.613
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-001.jpg,9.15\146-001.jpg,112.0,0.1216,14.04,7.339,27.57,4.051
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-B-003.jpg,9.15\146-B-003.jpg,94.0,0.1373,14.04,1.927,9.853,3.539
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-002.jpg,9.15\146-002.jpg,89.0,0.2471,10.03,6.614,16.508,3.231
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-001.jpg,9.15\160-001.jpg,89.0,0.1569,14.04,4.659,10.928,4.541
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-002.jpg,9.15\160-002.jpg,87.0,0.1725,14.04,4.718,14.718,5.709
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-003.jpg,9.15\160-003.jpg,95.0,0.1686,14.04,3.305,11.376,4.763
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-002.jpg,9.15\162-002.jpg,74.0,0.3529,20.05,2.211,10.49,3.598
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-001.jpg,9.15\162-001.jpg,81.0,0.3333,22.03,4.636,14.672,6.468
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\166-002.jpg,9.15\166-002.jpg,85.0,0.251,14.04,3.944,11.528,4.669
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-B.jpg,9.15\162-B.jpg,74.0,0.1765,20.05,3.761,14.594,4.508
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\220-B-004.jpg,9.15\220-B-004.jpg,69.0,0.1176,20.05,1.746,7.701,4.631
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\166-003.jpg,9.15\166-003.jpg,89.0,0.3412,20.05,4.443,14.184,4.521
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\245-002.jpg,9.15\245-002.jpg,71.0,0.1569,14.04,3.264,11.299,3.966
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\299-001.jpg,9.15\299-001.jpg,101.0,0.2078,20.05,2.971,10.264,4.571
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\44-B.jpg,9.15\44-B.jpg,86.0,0.1686,14.04,3.513,11.246,3.685
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\52-B-002.jpg,9.15\52-B-002.jpg,100.0,0.1804,14.04,1.58,6.657,2.445
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\83-B.jpg,9.15\83-B.jpg,114.0,0.1686,14.04,3.229,8.426,2.981
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\88-001.jpg,9.15\88-001.jpg,92.0,0.1059,20.05,4.662,14.64,6.858
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\88-002.jpg,9.15\88-002.jpg,80.0,0.1176,20.05,3.689,13.932,5.803
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\88-003.jpg,9.15\88-003.jpg,78.0,0.1294,20.05,3.124,11.399,4.026
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\90-001.jpg,9.15\90-001.jpg,69.0,0.2275,14.04,2.877,10.153,4.212
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\1001-002.jpg,9.8校准\1001-002.jpg,136.0,0.2314,14.04,0.732,2.524,1.135
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\1001-001.jpg,9.8校准\1001-001.jpg,127.0,0.2471,10.03,1.107,3.957,1.007
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\90-002.jpg,9.15\90-002.jpg,88.0,0.2353,20.05,2.652,10.43,4.3
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\1001-003.jpg,9.8校准\1001-003.jpg,88.0,0.6588,20.05,1.387,2.506,0.874
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\13-GG-004.jpg,9.8校准\13-GG-004.jpg,110.0,0.2627,10.03,1.236,4.196,1.124
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\16-NS-003.jpg,9.8校准\16-NS-003.jpg,130.0,0.2157,10.03,0.37,3.039,0.848
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\20-CL-002.jpg,9.8校准\20-CL-002.jpg,93.0,0.4863,14.04,1.248,12.657,0.918
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\2005-001.jpg,9.8校准\2005-001.jpg,146.0,0.1922,10.03,0.368,10.033,0.887
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\21-CL-001.jpg,9.8校准\21-CL-001.jpg,81.0,0.5216,20.05,1.21,2.472,0.932
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\2005-003.jpg,9.8校准\2005-003.jpg,98.0,0.3059,10.03,1.364,8.211,0.55
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\2005-002.jpg,9.8校准\2005-002.jpg,86.0,0.3608,14.04,0.631,2.185,0.687
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\22-CL-003.jpg,9.8校准\22-CL-003.jpg,104.0,0.2,14.04,0.521,10.378,0.868
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\22-MZ-001.jpg,9.8校准\22-MZ-001.jpg,108.0,0.6373,20.05,0.861,1.893,0.86
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\22-MZ-002.jpg,9.8校准\22-MZ-002.jpg,104.5,0.5333,14.04,0.434,6.77,0.511
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\28-CL-004.jpg,9.8校准\28-CL-004.jpg,88.0,0.2941,10.03,1.601,2.644,0.441
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\28-CL-003.jpg,9.8校准\28-CL-003.jpg,62.0,0.5647,20.05,0.986,1.892,0.6
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\28-FX-001.jpg,9.8校准\28-FX-001.jpg,85.0,0.4902,20.05,1.762,3.617,0.938
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\3004-001.jpg,9.8校准\3004-001.jpg,75.0,0.5373,20.05,1.34,5.776,1.243
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\3004-002.jpg,9.8校准\3004-002.jpg,78.0,0.4941,20.05,2.795,4.07,0.732
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\3004-003.jpg,9.8校准\3004-003.jpg,100.0,0.2667,14.04,1.688,3.675,1.389
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\31-CL-003.jpg,9.8校准\31-CL-003.jpg,96.0,0.3216,14.04,1.879,3.023,0.559
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\31-QG-001.jpg,9.8校准\31-QG-001.jpg,107.0,0.2667,10.03,1.669,6.183,0.729
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\32-CL-004.jpg,9.8校准\32-CL-004.jpg,110.0,0.2941,10.03,4.8,7.383,1.004
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\32-MZ-001.jpg,9.8校准\32-MZ-001.jpg,93.0,0.2431,10.03,2.73,3.846,0.51
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\34-CL-003.jpg,9.8校准\34-CL-003.jpg,134.5,0.2039,14.04,0.688,2.374,0.953
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\32-MZ-002.jpg,9.8校准\32-MZ-002.jpg,111.0,0.2353,10.03,3.297,7.288,0.699
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\34-CL-004.jpg,9.8校准\34-CL-004.jpg,97.0,0.2392,10.03,6.412,13.15,2.681
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\34-GP-001.jpg,9.8校准\34-GP-001.jpg,99.0,0.5255,14.04,2.388,4.063,0.786
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\36-CL-003.jpg,9.8校准\36-CL-003.jpg,96.0,0.4157,10.03,1.692,2.569,0.524
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\36-CL-004.jpg,9.8校准\36-CL-004.jpg,113.0,0.2314,10.03,0.845,3.558,0.912
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\37-MH-001.jpg,9.8校准\37-MH-001.jpg,123.0,0.3255,10.03,5.27,7.717,1.178
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\37-MH-002.jpg,9.8校准\37-MH-002.jpg,122.0,0.3176,10.03,7.354,12.171,1.432
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\38-CL-003.jpg,9.8校准\38-CL-003.jpg,100.0,0.302,10.03,2.113,3.291,0.455
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\38-CL-004.jpg,9.8校准\38-CL-004.jpg,86.0,0.3373,14.04,1.374,7.538,1.107
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\38-FX-001.jpg,9.8校准\38-FX-001.jpg,117.0,0.1961,10.03,1.44,3.057,0.972
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.8校准\4001-001.jpg,9.8校准\4001-001.jpg,90.0,0.3412,14.04,2.012,6.107,2.293
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\182-001.jpg,多样性林\9.11\182-001.jpg,80.0,0.4118,20.05,3.737,10.711,3.988
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\182-002.jpg,多样性林\9.11\182-002.jpg,76.0,0.3333,20.05,4.525,12.087,4.243
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\190-001.jpg,多样性林\9.11\190-001.jpg,99.0,0.3451,14.04,4.399,11.66,4.492
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\182-003.jpg,多样性林\9.11\182-003.jpg,90.0,0.4549,20.05,4.001,13.663,5.341
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\190-002.jpg,多样性林\9.11\190-002.jpg,88.0,0.3098,20.05,2.425,11.96,4.386
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\207-003.jpg,多样性林\9.11\207-003.jpg,78.0,0.1569,20.05,5.425,19.423,5.367
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\190-003.jpg,多样性林\9.11\190-003.jpg,111.0,0.1882,20.05,4.623,12.567,4.701
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\211-001.jpg,多样性林\9.11\211-001.jpg,79.0,0.3333,14.04,3.953,12.059,4.417
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\211-002.jpg,多样性林\9.11\211-002.jpg,75.0,0.4,22.03,3.922,14.68,7.238
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\211-003.jpg,多样性林\9.11\211-003.jpg,78.0,0.3961,20.05,5.369,13.263,5.034
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\218-003.jpg,多样性林\9.11\218-003.jpg,121.0,0.102,22.03,5.6,33.77,6.295
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\224-001.jpg,多样性林\9.11\224-001.jpg,105.0,0.3333,14.04,4.21,12.001,4.1
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\224-002.jpg,多样性林\9.11\224-002.jpg,127.0,0.2078,14.04,3.917,25.269,3.129
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\229-002.jpg,多样性林\9.11\229-002.jpg,112.0,0.2314,14.04,5.067,14.584,3.42
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\23-002.jpg,多样性林\9.11\23-002.jpg,77.0,0.149,20.05,2.087,9.339,2.818
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\230-001.jpg,多样性林\9.11\230-001.jpg,71.0,0.2627,20.05,6.843,15.776,5.484
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\230-003.jpg,多样性林\9.11\230-003.jpg,110.0,0.1176,20.05,2.29,16.574,3.283
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\245-001.jpg,多样性林\9.11\245-001.jpg,119.0,0.1059,14.04,3.485,10.79,2.865
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\245-003.jpg,多样性林\9.11\245-003.jpg,109.0,0.1922,20.05,2.504,7.858,4.115
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\258-002.jpg,多样性林\9.11\258-002.jpg,104.0,0.1529,20.05,2.988,14.427,3.279
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\266-002.jpg,多样性林\9.11\266-002.jpg,102.0,0.1412,20.05,2.414,8.144,4.387
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\270-001.jpg,多样性林\9.11\270-001.jpg,119.0,0.1647,14.04,3.242,9.664,3.607
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\270-003.jpg,多样性林\9.11\270-003.jpg,106.0,0.1294,20.05,3.958,19.431,2.886
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\275-002.jpg,多样性林\9.11\275-002.jpg,115.0,0.1059,14.04,4.055,14.414,3.139
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\281-001.jpg,多样性林\9.11\281-001.jpg,112.0,0.3686,14.04,1.75,7.812,3.081
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\281-003.jpg,多样性林\9.11\281-003.jpg,116.0,0.1843,14.04,2.932,11.891,4.646
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\292-002.jpg,多样性林\9.11\292-002.jpg,89.0,0.251,14.04,4.507,10.303,3.434
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\296-003.jpg,多样性林\9.11\296-003.jpg,99.0,0.1333,20.05,6.146,20.495,4.706
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\62-001.jpg,多样性林\9.11\62-001.jpg,65.0,0.1725,20.05,2.944,10.264,3.721
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G120-001.jpg,多样性林\9.12\G120-001.jpg,115.0,0.0941,10.03,4.455,10.545,2.88
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.11\74-003.jpg,多样性林\9.11\74-003.jpg,85.0,0.1412,20.05,2.611,9.35,4.577
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G120-002.jpg,多样性林\9.12\G120-002.jpg,109.0,0.1333,10.03,3.028,11.173,3.228
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G120-003.jpg,多样性林\9.12\G120-003.jpg,110.0,0.1255,10.03,2.259,7.446,2.41
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G121-001.jpg,多样性林\9.12\G121-001.jpg,104.0,0.1137,20.05,2.959,11.228,2.704
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G121-002.jpg,多样性林\9.12\G121-002.jpg,117.0,0.1216,14.04,3.534,11.392,3.624
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G121-003.jpg,多样性林\9.12\G121-003.jpg,84.0,0.2627,20.05,3.019,9.176,3.602
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G176-001.jpg,多样性林\9.12\G176-001.jpg,97.0,0.1333,20.05,2.851,26.934,3.892
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G176-002.jpg,多样性林\9.12\G176-002.jpg,93.0,0.149,14.04,2.084,8.347,3.804
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G176-003.jpg,多样性林\9.12\G176-003.jpg,89.0,0.1804,20.05,4.332,16.463,3.832
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G207-002.jpg,多样性林\9.12\G207-002.jpg,104.0,0.1725,14.04,3.252,11.982,4.254
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G218-001.jpg,多样性林\9.12\G218-001.jpg,163.0,0.1804,10.03,2.027,7.656,1.309
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G218-002.jpg,多样性林\9.12\G218-002.jpg,127.0,0.2431,10.03,2.322,8.641,1.478
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G225-003.jpg,多样性林\9.12\G225-003.jpg,114.0,0.1922,20.05,4.391,17.767,5.138
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G23-001.jpg,多样性林\9.12\G23-001.jpg,104.0,0.1373,14.04,3.744,9.846,3.458
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G23-003.jpg,多样性林\9.12\G23-003.jpg,112.0,0.1255,14.04,1.705,14.443,2.725
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G258-001.jpg,多样性林\9.12\G258-001.jpg,96.0,0.1412,20.05,3.42,12.028,4.259
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G258-003.jpg,多样性林\9.12\G258-003.jpg,109.0,0.149,20.05,3.259,10.129,4.064
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G27-002.jpg,多样性林\9.12\G27-002.jpg,111.0,0.1176,14.04,2.08,6.9,2.591
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G28-001.jpg,多样性林\9.12\G28-001.jpg,95.0,0.1686,14.04,2.386,6.505,2.751
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G27-003.jpg,多样性林\9.12\G27-003.jpg,92.0,0.1804,20.05,1.634,13.565,3.315
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G28-002.jpg,多样性林\9.12\G28-002.jpg,103.0,0.1961,10.03,2.849,10.821,1.732
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G28-003.jpg,多样性林\9.12\G28-003.jpg,97.0,0.1294,20.05,2.305,15.222,3.353
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G281-002.jpg,多样性林\9.12\G281-002.jpg,114.0,0.1569,14.04,3.397,8.801,3.045
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G31-001.jpg,多样性林\9.12\G31-001.jpg,111.0,0.1804,14.04,3.433,11.413,3.81
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G31-002.jpg,多样性林\9.12\G31-002.jpg,98.0,0.2118,14.04,4.678,13.225,4.934
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G31-003.jpg,多样性林\9.12\G31-003.jpg,95.0,0.1765,20.05,4.541,15.837,5.241
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G74-002.jpg,多样性林\9.12\G74-002.jpg,106.0,0.149,14.04,3.015,20.292,2.928
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G80-001.jpg,多样性林\9.12\G80-001.jpg,99.0,0.1647,14.04,4.285,11.295,3.752
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G80-002.jpg,多样性林\9.12\G80-002.jpg,97.0,0.1569,14.04,4.091,12.851,5.546
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.12\G80-003.jpg,多样性林\9.12\G80-003.jpg,105.0,0.2039,14.04,3.507,16.526,5.748
C:\Users\LIHAOYANG\Desktop\采样数据\图片\多样性林\9.14\114-003.jpg,多样性林\9.14\114-003.jpg,80.0,0.2627,14.04,4.386,11.692,4.001
