src,rel,root_gray,root_sat,root_width_px,fine_pct,shadow_pct,fg_pct,root_pct,edge_artifact
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\114-B-002.jpg,9.15\114-B-002.jpg,157.0,0.0588,22.03,0.0,0.011,9.522,4.74,2.71
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\126-001.jpg,9.15\126-001.jpg,147.0,0.0667,40.11,0.0,0.018,13.861,11.124,3.5
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-001.jpg,9.15\146-001.jpg,184.0,0.0667,28.08,0.0,0.008,27.57,11.381,6.74
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\126-002.jpg,9.15\126-002.jpg,152.0,0.0706,36.07,0.0,0.019,10.489,7.715,4.0
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\134-002.jpg,9.15\134-002.jpg,178.0,0.0588,22.03,0.0,0.021,13.829,9.215,6.55
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-001.jpg,9.15\136-001.jpg,159.0,0.0706,22.03,0.0,0.004,15.573,9.315,5.59
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-003.jpg,9.15\136-003.jpg,166.0,0.0706,22.03,0.0,0.078,10.804,7.332,3.6
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\136-002.jpg,9.15\136-002.jpg,155.0,0.0627,30.08,0.0,0.002,14.724,11.925,7.3
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-002.jpg,9.15\146-002.jpg,190.0,0.0588,28.08,0.0,0.032,16.508,9.814,6.76
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\146-B-003.jpg,9.15\146-B-003.jpg,151.0,0.0706,22.03,0.0,0.003,9.853,5.463,2.76
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-001.jpg,9.15\160-001.jpg,171.0,0.0627,28.08,0.0,0.001,10.928,9.199,5.76
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-002.jpg,9.15\160-002.jpg,164.0,0.0588,28.08,0.0,0.002,14.718,10.425,6.95
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\160-003.jpg,9.15\160-003.jpg,158.0,0.0627,22.03,0.0,0.005,11.376,8.063,7.16
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-B.jpg,9.15\162-B.jpg,163.0,0.0627,32.06,0.0,0.003,14.594,8.266,13.81
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-002.jpg,9.15\162-002.jpg,152.0,0.0824,30.08,0.0,0.029,10.49,5.78,3.9
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\162-001.jpg,9.15\162-001.jpg,160.0,0.0745,36.07,0.0,0.006,14.672,11.098,4.56
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\166-002.jpg,9.15\166-002.jpg,166.0,0.0706,28.08,0.0,0.034,11.528,8.579,4.95
C:\Users\LIHAOYANG\Desktop\采样数据\图片\9.15\166-003.jpg,9.15\166-003.jpg,170.0,0.0627,28.08,0.0,0.012,14.184,8.952,5.37
