error,file
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\114-B-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\126-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\126-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\126-003.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\134-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\136-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\136-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\136-003.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\146-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\146-B-003.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\160-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\160-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\146-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\160-003.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\162-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\162-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\162-B.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\166-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\166-003.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\220-B-004.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\245-002.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\299-001.jpg
"ValueError: not enough values to unpack (expected 4, got 3)",C:\Users\<用户名>\Desktop\扫描\根系分割项目\白底根图_第二数据集\9.15\44-B.jpg
