stem,orig,man,边框已自动清理,w,h,root_pct,dark_root_pct,light_root_pct,dark_ratio,gray_p50_root
126-003,C:\Users\<用户名>\Desktop\测试\原图\126-003.jpg,C:\Users\<用户名>\Desktop\测试\人工\126-003-man.tif,False,7019,4962,3.883,3.874,0.009,0.998,47
134-003,C:\Users\<用户名>\Desktop\测试\原图\134-003.jpg,C:\Users\<用户名>\Desktop\测试\人工\134-003-man.tif,False,7019,4962,1.377,1.257,0.12,0.913,92
22-001,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\22-001.jpg,C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\边框清理\cleaned\22-001-man-clean.tif,True,7019,4962,2.765,2.093,0.672,0.757,70
28-CL-003,C:\Users\<用户名>\Desktop\测试\原图\28-CL-003.jpg,C:\Users\<用户名>\Desktop\测试\人工\28-CL-003-man.tif,False,7019,4962,0.437,0.433,0.004,0.991,52
281-003,C:\Users\<用户名>\Desktop\测试\原图\281-003.jpg,C:\Users\<用户名>\Desktop\测试\人工\281-003-man.tif,False,7019,4962,2.502,2.468,0.034,0.987,75
44-001,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\44-001.jpg,C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\边框清理\cleaned\44-001-man-clean.tif,True,7019,4962,3.003,2.482,0.52,0.827,60
46-002,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\46-002.jpg,C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\边框清理\cleaned\46-002-man-clean.tif,True,7019,4962,2.891,2.138,0.753,0.74,84
66-003,C:\Users\<用户名>\Desktop\测试\原图\66-003.jpg,C:\Users\<用户名>\Desktop\测试\人工\66-003-man.tif,False,7019,4962,1.21,1.199,0.011,0.991,60
7-001,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-001.tif,C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-001-man.tif,False,7019,4962,2.024,1.896,0.129,0.936,42
7-002,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-002.tif,C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-002-man.tif,False,7019,4962,1.463,1.384,0.079,0.946,45
7-003,C:\Users\<用户名>\Desktop\测试\原图\7-003.tif,C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-003-man-9.22.tif,False,7019,4962,2.158,2.084,0.075,0.965,54
G218-001,C:\Users\<用户名>\Desktop\测试\原图\G218-001.jpg,C:\Users\<用户名>\Desktop\测试\人工\G218-001-man.tif,False,7019,4962,1.443,1.155,0.287,0.801,111
