epoch,train_loss,dice,iou,precision,recall,lr,sec,peak_GPU_GB
1,0.6842,0.315,0.1869,0.9204,0.19,0.000998,7.8,2.1
2,0.5039,0.8513,0.7411,0.8421,0.8607,0.000994,6.8,2.1
3,0.4399,0.7391,0.5861,0.6245,0.9051,0.000986,6.8,2.1
4,0.4111,0.7949,0.6597,0.7252,0.8795,0.000976,6.8,2.1
5,0.3961,0.8867,0.7965,0.9264,0.8503,0.000962,6.8,2.1
6,0.3836,0.8608,0.7556,0.8142,0.9131,0.000946,6.8,2.1
7,0.3885,0.8881,0.7987,0.9091,0.868,0.000926,6.8,2.1
8,0.3796,0.892,0.8051,0.8888,0.8953,0.000905,6.8,2.1
9,0.3837,0.8856,0.7946,0.9006,0.871,0.00088,6.8,2.1
10,0.3775,0.8752,0.7781,0.8402,0.9133,0.000854,6.8,2.1
11,0.3726,0.8229,0.6991,0.7661,0.8889,0.000825,6.8,2.1
12,0.3747,0.8315,0.7116,0.7674,0.9073,0.000794,6.8,2.1
13,0.36,0.8922,0.8054,0.9048,0.88,0.000761,6.8,2.1
14,0.3642,0.9004,0.8188,0.9129,0.8882,0.000727,6.4,2.1
15,0.3661,0.8152,0.688,0.7212,0.9373,0.000691,4.9,2.1
16,0.3748,0.8895,0.801,0.9014,0.8779,0.000655,4.7,2.1
17,0.3532,0.8394,0.7232,0.8008,0.8818,0.000617,4.9,2.1
18,0.3648,0.8749,0.7777,0.9009,0.8504,0.000578,4.7,2.1
19,0.3719,0.8855,0.7945,0.9227,0.8511,0.000539,4.7,2.1
20,0.3592,0.8785,0.7834,0.9406,0.8241,0.0005,4.7,2.1
21,0.355,0.8932,0.807,0.9064,0.8804,0.000461,4.7,2.1
22,0.3623,0.8889,0.8,0.908,0.8706,0.000422,4.7,2.1
23,0.3595,0.8404,0.7247,0.7866,0.9021,0.000383,4.7,2.1
24,0.362,0.805,0.6737,0.8035,0.8065,0.000345,4.7,2.1
25,0.3691,0.8246,0.7015,0.7899,0.8625,0.000309,4.7,2.1
26,0.3618,0.8886,0.7996,0.8813,0.8961,0.000273,4.7,2.1
27,0.3543,0.8519,0.7421,0.8316,0.8733,0.000239,4.7,2.1
28,0.3573,0.8281,0.7067,0.7672,0.8996,0.000206,4.7,2.1
29,0.3603,0.8291,0.7081,0.7661,0.9034,0.000175,4.7,2.1
30,0.3598,0.8372,0.72,0.7823,0.9003,0.000146,4.7,2.1
31,0.3577,0.836,0.7182,0.777,0.9048,0.00012,4.7,2.1
32,0.3588,0.8374,0.7203,0.7937,0.8862,9.5e-05,4.7,2.1
33,0.347,0.8496,0.7385,0.8082,0.8955,7.4e-05,4.7,2.1
34,0.3516,0.8414,0.7263,0.7857,0.9057,5.4e-05,4.7,2.1
35,0.35,0.8435,0.7293,0.7902,0.9044,3.8e-05,4.8,2.1
36,0.3575,0.8625,0.7582,0.8654,0.8595,2.4e-05,4.8,2.1
37,0.3553,0.8543,0.7457,0.8357,0.8738,1.4e-05,4.7,2.1
38,0.3488,0.8627,0.7586,0.8597,0.8658,6e-06,4.8,2.1
39,0.3503,0.8511,0.7407,0.8255,0.8782,2e-06,4.8,2.1
40,0.3578,0.8532,0.744,0.8246,0.8838,0.0,4.8,2.1
