样本,人工,机器,原图数,原图
00000-001,C:\Users\<用户名>\Desktop\测试\人工\9.9改\00000-001-man.tif,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\00000-001-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\00000-001.tif
126-003,C:\Users\<用户名>\Desktop\测试\人工\126-003-man.tif,C:\Users\<用户名>\Desktop\测试\机器\126-003-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\126-003-mac.tif,3,C:\Users\<用户名>\Desktop\测试\原图\126-003.jpg;C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\126-003.jpg
134-003,C:\Users\<用户名>\Desktop\测试\人工\134-003-man.tif,C:\Users\<用户名>\Desktop\测试\机器\134-003-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\134-003-mac.tif,2,C:\Users\<用户名>\Desktop\测试\原图\134-003.jpg;C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.14\134-003.jpg
22-001,C:\Users\<用户名>\Desktop\测试\人工\9.9改\22-001-man.tif,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\22-001-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\22-001.jpg
28-CL-003,C:\Users\<用户名>\Desktop\测试\人工\28-CL-003-man.tif,C:\Users\<用户名>\Desktop\测试\机器\28-CL-003-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\28-CL-003-mac.tif,2,C:\Users\<用户名>\Desktop\测试\原图\28-CL-003.jpg;C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\28-CL-003.jpg
281-003,C:\Users\<用户名>\Desktop\测试\人工\281-003-man.tif,C:\Users\<用户名>\Desktop\测试\机器\281-003-mac.tif,2,C:\Users\<用户名>\Desktop\测试\原图\281-003.jpg;C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.11\281-003.jpg
44-001,C:\Users\<用户名>\Desktop\测试\人工\9.9改\44-001-man.tif,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\44-001-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\44-001.jpg
46-002,C:\Users\<用户名>\Desktop\测试\人工\9.9改\46-002-man.jpg,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\46-002-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\46-002.jpg
66-003,C:\Users\<用户名>\Desktop\测试\人工\66-003-man.tif,C:\Users\<用户名>\Desktop\测试\机器\66-003-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\66-003-mac.tif,2,C:\Users\<用户名>\Desktop\测试\原图\66-003.jpg;C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\66-003.jpg
7-001,C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-001-man.tif,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\7-001-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-001.tif
7-002,C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-002-man.tif,C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\7-002-mac.tif,1,C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-002.tif
7-003,C:\Users\<用户名>\Desktop\测试\人工\7-003-man.tif;C:\Users\<用户名>\Desktop\测试\人工\9.9改\7-003-man-9.22.tif,C:\Users\<用户名>\Desktop\测试\机器\7-003-mac.tif;C:\Users\<用户名>\Desktop\测试\机器\9.9改mac\7-003-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\7-003-mac.tif,2,C:\Users\<用户名>\Desktop\测试\原图\7-003.tif;C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-003.tif
7003-man-scan,C:\Users\<用户名>\Desktop\测试\人工\7003-man-scan.png,,0,
G218-001,C:\Users\<用户名>\Desktop\测试\人工\G218-001-man.tif,C:\Users\<用户名>\Desktop\测试\机器\G218-001-mac.tif;C:\Users\<用户名>\Desktop\扫描\根系分割项目\outputs\残留分析\clean\G218-001-mac.tif,3,C:\Users\<用户名>\Desktop\测试\原图\G218-001.jpg;C:\Users\<用户名>\Desktop\扫描\图片\0814\G218-001.jpg
