样本,人工_根总长,机器_根总长,误差%_根总长,人工_表面积,机器_表面积,误差%_表面积,人工_根体积,机器_根体积,误差%_根体积,人工_平均直径,机器_平均直径,误差%_平均直径,人工_投影面积,机器_投影面积,误差%_投影面积,人工_根尖数,机器_根尖数,误差%_根尖数,人工_分叉数,机器_分叉数,误差%_分叉数,人工_交叉数,机器_交叉数,误差%_交叉数
00000-001,192.3906,196.7712,2.28,36.8336,45.2598,22.88,0.561,0.828,47.59,0.6094,0.7322,20.15,11.7245,14.4067,22.88,212.0,190.0,-10.38,306.0,168.0,-45.1,5.0,0.0,-100.0
126-003,227.1076,237.5605,4.6,75.8171,73.5944,-2.93,2.014,1.814,-9.93,1.0626,0.9861,-7.2,24.1333,23.4258,-2.93,589.0,825.0,40.07,572.0,593.0,3.67,17.0,7.0,-58.82
134-003,164.2201,164.2008,-0.01,24.9143,22.9213,-8.0,0.301,0.255,-15.28,0.4829,0.4443,-7.99,7.9305,7.2961,-8.0,391.0,481.0,23.02,439.0,269.0,-38.72,17.0,7.0,-58.82
22-001,168.0239,156.8061,-6.68,39.8698,38.7252,-2.87,0.753,0.761,1.06,0.7553,0.7861,4.08,12.691,12.3266,-2.87,446.0,305.0,-31.61,1258.0,242.0,-80.76,70.0,4.0,-94.29
28-CL-003,26.1947,26.0366,-0.6,8.3764,7.6447,-8.74,0.213,0.179,-15.96,1.0179,0.9346,-8.18,2.6663,2.4334,-8.73,29.0,53.0,82.76,67.0,27.0,-59.7,5.0,0.0,-100.0
281-003,313.525,292.0604,-6.85,47.9797,43.4037,-9.54,0.584,0.513,-12.16,0.4871,0.473,-2.89,15.2724,13.8158,-9.54,878.0,969.0,10.36,1144.0,686.0,-40.03,48.0,22.0,-54.17
44-001,259.1025,244.6768,-5.57,47.5898,48.5349,1.99,0.696,0.766,10.06,0.5846,0.6314,8.01,15.1483,15.4491,1.99,673.0,494.0,-26.6,1758.0,371.0,-78.9,45.0,6.0,-86.67
66-003,165.7807,135.7742,-18.1,23.6362,20.058,-15.14,0.268,0.236,-11.94,0.4538,0.4702,3.61,7.5236,6.3847,-15.14,680.0,591.0,-13.09,1538.0,254.0,-83.49,109.0,10.0,-90.83
7-001,153.9596,158.4375,2.91,36.5544,34.5476,-5.49,0.691,0.599,-13.31,0.7558,0.6941,-8.16,11.6356,10.9968,-5.49,225.0,316.0,40.44,528.0,230.0,-56.44,9.0,3.0,-66.67
7-002,99.6798,109.9737,10.33,26.9024,28.9794,7.72,0.578,0.608,5.19,0.8591,0.8388,-2.36,8.5633,9.2244,7.72,118.0,190.0,61.02,145.0,201.0,38.62,0.0,4.0,
7-003,221.15,234.7738,6.16,40.2113,48.1357,19.71,0.582,0.785,34.88,0.5788,0.6526,12.75,12.7997,15.3221,19.71,408.0,374.0,-8.33,626.0,361.0,-42.33,15.0,1.0,-93.33
G218-001,234.7201,149.0034,-36.52,22.8914,13.6262,-40.47,0.178,0.099,-44.38,0.3104,0.2911,-6.22,7.2866,4.3374,-40.47,1777.0,939.0,-47.16,959.0,185.0,-80.71,40.0,4.0,-90.0
