id,image,Length(cm),SurfArea(cm2),RootVolume(cm3),AvgDiam(mm),ProjArea(cm2),Tips,Forks,Crossings
7003man,7-003-man.tif,221.15,40.2113,0.582,0.5788,12.7997,408.0,626.0,15.0
7003auto,7-003_auto.jpg,245.4174,46.9781,0.716,0.6093,14.9536,629.0,848.0,6.0
7003man,7-003-man.tif,221.15,40.2113,0.582,0.5788,12.7997,408.0,626.0,15.0
7003auto2-tiff,7-003_auto2.tif,237.1383,39.3382,0.519,0.528,12.5217,767.0,770.0,12.0
28-CL-003-man,28-CL-003-man.tif,26.1947,8.3764,0.213,1.0179,2.6663,29.0,67.0,5.0
66-003-man,66-003-man.tif,165.7807,23.6362,0.268,0.4538,7.5236,680.0,1538.0,109.0
126-003-man,126-003-man.tif,227.1076,75.8171,2.014,1.0626,24.1333,589.0,572.0,17.0
134-003-man,134-003-man.tif,164.2201,24.9143,0.301,0.4829,7.9305,391.0,439.0,17.0
G218-001-man,G218-001-man.tif,234.7201,22.8914,0.178,0.3104,7.2866,1777.0,959.0,40.0
28-CL-003-mac,28-CL-003-mac.tif,26.0366,7.6447,0.179,0.9346,2.4334,53.0,27.0,0.0
66-003-mac,66-003-mac.tif,135.7742,20.058,0.236,0.4702,6.3847,591.0,254.0,10.0
126-003-mac,126-003-mac.tif,237.5605,73.5944,1.814,0.9861,23.4258,825.0,593.0,7.0
134-003-mac,134-003-mac.tif,164.2008,22.9213,0.255,0.4443,7.2961,481.0,269.0,7.0
G218-001-MAC,G218-001-mac.tif,149.0034,13.6262,0.099,0.2911,4.3374,939.0,185.0,4.0
00000-001-man,00000-001-man.tif,192.3906,36.8336,0.561,0.6094,11.7245,212.0,306.0,5.0
7-001-man,7-001-man.tif,153.9596,36.5544,0.691,0.7558,11.6356,225.0,528.0,9.0
7-002-man,7-002-man.tif,99.6798,26.9024,0.578,0.8591,8.5633,118.0,145.0,0.0
7-003-man-9.22,7-003-man-9.22.tif,221.15,40.2113,0.582,0.5788,12.7997,408.0,626.0,15.0
22-001-man,22-001-man.tif,168.0239,39.8698,0.753,0.7553,12.691,446.0,1258.0,70.0
44-001-man,44-001-man.tif,259.1025,47.5898,0.696,0.5846,15.1483,673.0,1758.0,45.0
00000-1-mac,00000-001-mac.tif,196.7712,45.2598,0.828,0.7322,14.4067,190.0,168.0,0.0
7-001-mac,7-001-mac.tif,158.4375,34.5476,0.599,0.6941,10.9968,316.0,230.0,3.0
7-002-mac,7-002-mac.tif,109.9737,28.9794,0.608,0.8388,9.2244,190.0,201.0,4.0
7-003-mac-9.22,7-003-mac.tif,234.7738,48.1357,0.785,0.6526,15.3221,374.0,361.0,1.0
22-001-mac,22-001-mac.tif,156.8061,38.7252,0.761,0.7861,12.3266,305.0,242.0,4.0
44-001-mac,44-001-mac.tif,244.6768,48.5349,0.766,0.6314,15.4491,494.0,371.0,6.0
46-002-mac,46-002-mac.tif,258.2653,42.8592,0.566,0.5282,13.6425,717.0,684.0,12.0
281-003-man,281-003-man.tif,313.525,47.9797,0.584,0.4871,15.2724,878.0,1144.0,48.0
281-003-mac,281-003-mac.tif,292.0604,43.4037,0.513,0.473,13.8158,969.0,686.0,22.0
