样本,原图,根灰度,根饱和度,根宽度px,阴影占比%,根占比%,误差%_根总长,误差%_表面积,误差%_根体积,误差%_平均直径,四项绝对误差中位
00000-001,原始图片\多样性林\9.9\00000-001.tif,135.0,0.18,19.28,2.812,5.527,2.28,22.88,47.59,20.15,21.52
126-003,原始图片\9.15\126-003.jpg,136.0,0.086,35.1,0.01,9.393,4.6,-2.93,-9.93,-7.2,5.9
134-003,原始图片\多样性林\9.14\134-003.jpg,188.0,0.063,19.28,0.005,7.653,-0.01,-8.0,-15.28,-7.99,8.0
22-001,原始图片\多样性林\9.9\22-001.jpg,208.0,0.031,28.05,0.72,12.282,-6.68,-2.87,1.06,4.08,3.48
28-CL-003,原始图片\9.8校准\28-CL-003.jpg,168.0,0.098,24.57,0.15,1.047,-0.6,-8.74,-15.96,-8.18,8.46
281-003,原始图片\多样性林\9.11\281-003.jpg,163.0,0.067,24.57,0.023,7.991,-6.85,-9.54,-12.16,-2.89,8.2
44-001,原始图片\多样性林\9.9\44-001.jpg,206.0,0.035,26.32,1.544,14.053,-5.57,1.99,10.06,8.01,6.79
66-003,原始图片\多样性林\9.9\66-003.jpg,211.0,0.035,26.32,2.423,14.602,-18.1,-15.14,-11.94,3.61,13.54
7-001,原始图片\多样性林\9.9\7-001.tif,144.0,0.09,24.57,1.825,5.496,2.91,-5.49,-13.31,-8.16,6.83
7-002,原始图片\多样性林\9.9\7-002.tif,107.0,0.161,19.28,2.883,3.859,10.33,7.72,5.19,-2.36,6.46
7-003,原始图片\多样性林\9.9\7-003.tif,144.0,0.141,19.28,2.855,7.043,6.16,19.71,34.88,12.75,16.23
G218-001,原始图片\多样性林\9.12\G218-001.jpg,189.0,0.067,12.28,0.268,2.92,-36.52,-40.47,-44.38,-6.22,38.5
