rel_path,batch,width_px,height_px,dpi,mm_per_px,scan_width_mm,scan_height_mm,px_per_mm
图片\0807\F28-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\F46-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\F52-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G22-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G23-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G23-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G23-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G27-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G27-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G28-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G28-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G28-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G31-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G31-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G31-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G44-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G44-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G44-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G46-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G46-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G52-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G52-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G52-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G62-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G62-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G62-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G66-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G66-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G66-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G7-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G7-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G7-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G74-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G74-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G74-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G80-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G80-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G80-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G86-001.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G86-002.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0807\G86-003.jpg,0807,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0808\F120-001.jpg,0808,4962,7019,600.0,0.042333,210.06,297.14,23.622
图片\0808\F120-002.jpg,0808,4962,7019,600.0,0.042333,210.06,297.14,23.622
