rel_path,src_w,src_h,src_dpi,src_mm_w,src_mm_h,excluded,exclude_reason,crop_left_mm,crop_right_mm,crop_top_mm,crop_bottom_mm,out_w,out_h,out_dpi,out_mm_w,out_mm_h,resampled,resample_factor,out_path,out_bytes
图片\0807\F28-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,2.5,4962,6960,600,210.06,294.64,False,1.0,processed\600dpi\0807\F28-002.jpg,8945852
图片\0807\F46-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,3.0,4962,6948,600,210.06,294.13,False,1.0,processed\600dpi\0807\F46-002.jpg,8871128
图片\0807\F52-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,3.5,4962,6936,600,210.06,293.62,False,1.0,processed\600dpi\0807\F52-003.jpg,8900550
图片\0807\G22-001.jpg,4962,7019,600.0,210.06,297.14,False,,8.0,0.0,4.5,0.0,4773,6913,600,202.06,292.65,False,1.0,processed\600dpi\0807\G22-001.jpg,10093980
图片\0807\G23-001.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G23-001.jpg,8782015
图片\0807\G23-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G23-002.jpg,9031304
图片\0807\G23-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G23-003.jpg,8946274
图片\0807\G27-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,1.5,4962,6984,600,210.06,295.66,False,1.0,processed\600dpi\0807\G27-002.jpg,9266699
图片\0807\G27-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G27-003.jpg,9218741
图片\0807\G28-001.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G28-001.jpg,8198460
图片\0807\G28-002.jpg,4962,7019,600.0,210.06,297.14,False,,7.0,0.0,2.0,7.0,4797,6807,600,203.07,288.16,False,1.0,processed\600dpi\0807\G28-002.jpg,8417951
图片\0807\G28-003.jpg,4962,7019,600.0,210.06,297.14,False,,6.0,0.0,3.5,0.0,4820,6936,600,204.05,293.62,False,1.0,processed\600dpi\0807\G28-003.jpg,10156000
图片\0807\G31-001.jpg,4962,7019,600.0,210.06,297.14,False,,8.0,0.0,0.0,3.0,4773,6948,600,202.06,294.13,False,1.0,processed\600dpi\0807\G31-001.jpg,9114764
图片\0807\G31-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G31-002.jpg,9617317
图片\0807\G31-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,3.5,9.0,0.0,4879,6806,600,206.54,288.12,False,1.0,processed\600dpi\0807\G31-003.jpg,9470649
图片\0807\G44-001.jpg,4962,7019,600.0,210.06,297.14,False,,5.5,0.0,2.0,0.0,4832,6972,600,204.55,295.15,False,1.0,processed\600dpi\0807\G44-001.jpg,9999918
图片\0807\G44-002.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,2.0,4962,6972,600,210.06,295.15,False,1.0,processed\600dpi\0807\G44-002.jpg,7665116
图片\0807\G44-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,1.5,4962,6984,600,210.06,295.66,False,1.0,processed\600dpi\0807\G44-003.jpg,7647006
图片\0807\G46-002.jpg,4962,7019,600.0,210.06,297.14,False,,5.0,0.0,2.5,0.0,4844,6960,600,205.06,294.64,False,1.0,processed\600dpi\0807\G46-002.jpg,10596860
图片\0807\G46-003.jpg,4962,7019,600.0,210.06,297.14,False,,0.0,0.0,0.0,0.0,4962,7019,600,210.06,297.14,False,1.0,processed\600dpi\0807\G46-003.jpg,7706260
图片\0807\G52-001.jpg,4962,7019,600.0,210.06,297.14,False,,5.0,0.0,5.0,0.0,4844,6901,600,205.06,292.14,False,1.0,processed\600dpi\0807\G52-001.jpg,9690414
