file,rel_path,root_pct,shadow_pct,shadow_dist_p50,shadow_near_root_pct(<=6px),shadow_mid_pct(6-25px),shadow_far_pct(>25px)
F28-002.jpg,图片\0807\F28-002.jpg,0.503,2.109,44.4,17.4,20.4,62.2
F46-002.jpg,图片\0807\F46-002.jpg,0.408,2.441,19.6,21.2,34.5,44.3
F52-003.jpg,图片\0807\F52-003.jpg,0.346,2.402,13.0,23.5,44.7,31.8
G22-001.jpg,图片\0807\G22-001.jpg,3.402,16.374,20.2,23.3,33.0,43.6
G23-001.jpg,图片\0807\G23-001.jpg,1.289,12.573,19.0,19.3,38.6,42.2
G23-002.jpg,图片\0807\G23-002.jpg,0.574,13.885,39.6,9.8,27.7,62.6
G23-003.jpg,图片\0807\G23-003.jpg,0.917,12.985,31.2,13.3,30.4,56.3
G27-002.jpg,图片\0807\G27-002.jpg,0.827,16.959,27.8,11.0,34.9,54.1
G27-003.jpg,图片\0807\G27-003.jpg,2.25,16.139,26.2,20.8,28.2,51.1
G28-001.jpg,图片\0807\G28-001.jpg,2.102,11.192,10.2,33.0,40.0,27.0
G28-002.jpg,图片\0807\G28-002.jpg,1.589,11.716,16.6,22.9,38.4,38.8
G28-003.jpg,图片\0807\G28-003.jpg,3.223,22.096,13.0,26.2,42.6,31.2
G31-001.jpg,图片\0807\G31-001.jpg,5.991,21.286,15.4,26.5,38.4,35.2
G31-002.jpg,图片\0807\G31-002.jpg,2.816,12.238,7.2,42.7,45.6,11.8
G31-003.jpg,图片\0807\G31-003.jpg,4.818,14.47,6.0,50.7,40.1,9.2
G44-001.jpg,图片\0807\G44-001.jpg,3.545,24.981,17.6,25.2,33.9,40.9
G44-002.jpg,图片\0807\G44-002.jpg,1.585,8.482,7.8,40.7,43.5,15.8
G44-003.jpg,图片\0807\G44-003.jpg,1.255,8.659,11.0,30.7,41.0,28.3
G46-002.jpg,图片\0807\G46-002.jpg,2.753,15.456,9.4,33.8,38.9,27.3
G46-003.jpg,图片\0807\G46-003.jpg,0.474,6.28,35.2,15.3,26.2,58.5
G52-001.jpg,图片\0807\G52-001.jpg,3.237,20.419,23.4,19.6,32.5,47.9
G52-002.jpg,图片\0807\G52-002.jpg,1.689,20.051,19.0,18.9,40.3,40.8
G52-003.jpg,图片\0807\G52-003.jpg,5.569,12.998,14.0,30.8,33.8,35.4
G62-001.jpg,图片\0807\G62-001.jpg,1.818,7.919,10.2,35.3,27.7,37.1
G62-002.jpg,图片\0807\G62-002.jpg,1.359,12.956,14.8,23.8,40.4,35.8
G62-003.jpg,图片\0807\G62-003.jpg,0.997,14.782,44.2,12.1,25.7,62.2
G66-001.jpg,图片\0807\G66-001.jpg,2.423,10.591,9.2,34.4,50.9,14.6
G66-002.jpg,图片\0807\G66-002.jpg,0.685,9.472,51.8,12.1,21.2,66.7
G66-003.jpg,图片\0807\G66-003.jpg,0.29,4.052,33.8,14.9,28.7,56.4
G7-001.jpg,图片\0807\G7-001.jpg,1.926,10.363,9.2,35.4,39.1,25.6
G7-002.jpg,图片\0807\G7-002.jpg,4.158,7.481,9.6,33.4,40.7,25.9
G7-003.jpg,图片\0807\G7-003.jpg,3.843,25.913,14.2,26.5,36.0,37.4
G74-001.jpg,图片\0807\G74-001.jpg,5.099,11.982,10.0,37.8,24.5,37.6
G74-002.jpg,图片\0807\G74-002.jpg,2.335,12.028,11.0,29.8,42.8,27.4
G74-003.jpg,图片\0807\G74-003.jpg,1.107,4.776,6.2,49.9,37.0,13.2
G80-001.jpg,图片\0807\G80-001.jpg,3.592,11.228,6.4,47.4,42.0,10.6
G80-002.jpg,图片\0807\G80-002.jpg,4.245,21.881,9.4,34.4,44.0,21.7
G80-003.jpg,图片\0807\G80-003.jpg,4.816,23.746,10.6,32.5,42.1,25.4
G86-001.jpg,图片\0807\G86-001.jpg,1.258,14.714,23.6,16.6,35.4,48.0
G86-002.jpg,图片\0807\G86-002.jpg,2.104,18.757,19.8,20.7,37.2,42.1
G86-003.jpg,图片\0807\G86-003.jpg,1.015,11.739,33.6,13.7,29.3,57.0
F120-001.jpg,图片\0808\F120-001.jpg,1.02,6.959,16.8,21.9,38.7,39.4
F120-002.jpg,图片\0808\F120-002.jpg,0.682,16.026,50.2,9.2,25.9,64.9
F120-003.jpg,图片\0808\F120-003.jpg,0.24,3.824,17.8,15.3,44.9,39.8
F121-001.jpg,图片\0808\F121-001.jpg,0.299,2.151,39.4,15.1,30.2,54.7
F121-002.jpg,图片\0808\F121-002.jpg,0.467,2.506,21.8,19.1,33.9,47.0
F121-003.jpg,图片\0808\F121-003.jpg,0.442,2.248,53.2,15.5,23.9,60.6
G120-001.jpg,图片\0808\G120-001.jpg,0.944,11.533,16.4,19.4,43.3,37.3
G120-002.jpg,图片\0808\G120-002.jpg,0.963,12.594,16.0,18.8,49.9,31.2
G120-003.jpg,图片\0808\G120-003.jpg,1.177,10.268,15.4,22.8,40.5,36.8
G121-001.jpg,图片\0808\G121-001.jpg,1.417,8.913,13.2,23.1,47.3,29.6
G121-002.jpg,图片\0808\G121-002.jpg,1.346,10.486,14.4,24.8,38.8,36.4
G121-003.jpg,图片\0808\G121-003.jpg,3.24,11.497,8.4,38.3,38.1,23.7
F114-001.jpg,图片\0811\F114-001.jpg,0.198,3.705,209.2,3.0,2.9,94.2
F114-003.jpg,图片\0811\F114-003.jpg,0.24,4.563,181.5,8.3,11.8,79.9
F126-001.jpg,图片\0811\F126-001.jpg,0.537,1.735,10.8,34.9,19.1,45.9
F126-002.jpg,图片\0811\F126-002.jpg,0.385,2.491,17.8,21.3,33.2,45.5
F126-003.jpg,图片\0811\F126-003.jpg,0.483,1.346,9.2,39.3,21.4,39.3
F134-001.jpg,图片\0811\F134-001.jpg,0.232,2.067,23.2,19.8,31.1,49.1
