rel_path,batch,width,height,dpi_x,dpi_y,format,pil_mode,file_bytes,jpeg_progressive,icc_profile,exif_present,otsu_thr,dark_pct,v_mean,v_bg,v_p05,s_mean,pixel_darker_pct,proxy_shadow_pct,proxy_root_pct,bg_grid_min,bg_grid_max,bg_grid_range,border_dark_pct,mtime
图片\0807\F28-002.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4392019,False,True,False,189,0.876,0.9864,1.0,0.9647,0.0312,2.473,1.844,0.629,0.9842,0.9953,0.0111,5.432,1786103129.87722
图片\0807\F46-002.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4355053,False,True,False,195,1.138,0.9855,1.0,0.9608,0.0311,3.168,2.339,0.829,0.9828,0.9962,0.0134,4.021,1786102788.993976
图片\0807\F52-003.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4386023,False,True,False,189,1.609,0.9824,1.0,0.9529,0.0305,3.91,2.957,0.953,0.9757,0.9959,0.0202,4.161,1786101959.9019613
图片\0807\G22-001.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4564260,False,True,False,172,4.791,0.9527,1.0,0.7294,0.0421,14.266,9.865,4.401,0.9812,0.9952,0.014,25.179,1786347964.9540732
图片\0807\G23-001.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4309244,False,True,False,187,3.898,0.9638,1.0,0.8157,0.0399,12.509,9.915,2.594,0.9791,0.9951,0.0161,1.012,1786238764.7777846
图片\0807\G23-002.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4440362,False,True,False,197,2.836,0.9721,1.0,0.8902,0.0387,10.49,8.901,1.589,0.982,0.9945,0.0125,0.389,1786268252.5455058
图片\0807\G23-003.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4401065,False,True,False,193,3.709,0.9674,1.0,0.8471,0.0399,11.623,9.449,2.174,0.9811,0.9946,0.0135,1.056,1786267229.8483994
图片\0807\G27-002.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4637779,False,True,False,196,3.517,0.9667,1.0,0.8549,0.0392,13.211,11.219,1.992,0.978,0.9933,0.0153,2.887,1786314843.5523522
图片\0807\G27-003.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4542207,False,True,False,182,4.444,0.9591,1.0,0.7882,0.0443,13.422,10.347,3.075,0.9789,0.9942,0.0153,0.648,1786315698.1987405
图片\0807\G28-001.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,4046211,False,True,False,192,4.892,0.9643,1.0,0.7922,0.037,12.671,9.118,3.553,0.9859,0.9967,0.0108,0.932,1786247205.723189
图片\0807\G28-002.jpg,0807,4962,7019,600.0,600.0,JPEG,RGB,3827281,False,True,False,191,4.026,0.9696,1.0,0.8314,0.0326,11.329,8.34,2.989,0.9818,0.9989,0.017,11.317,1786379608.419564
