src,candidate,root_pct,removed_border_px,removed_loops
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\114-B-002.jpg,outputs\预标注候选\114-B-002-mac.tif,1.441,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\126-001.jpg,outputs\预标注候选\126-001-mac.tif,4.129,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\126-002.jpg,outputs\预标注候选\126-002-mac.tif,2.748,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\126-003.jpg,outputs\预标注候选\126-003-mac.tif,3.863,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\134-002.jpg,outputs\预标注候选\134-002-mac.tif,2.654,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\136-001.jpg,outputs\预标注候选\136-001-mac.tif,2.595,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\136-002.jpg,outputs\预标注候选\136-002-mac.tif,3.484,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\136-003.jpg,outputs\预标注候选\136-003-mac.tif,2.183,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\146-001.jpg,outputs\预标注候选\146-001-mac.tif,2.169,0,21
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\146-002.jpg,outputs\预标注候选\146-002-mac.tif,2.036,0,4
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\146-B-003.jpg,outputs\预标注候选\146-B-003-mac.tif,1.731,0,22
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\160-001.jpg,outputs\预标注候选\160-001-mac.tif,2.114,0,18
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\160-002.jpg,outputs\预标注候选\160-002-mac.tif,2.557,0,45
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\160-003.jpg,outputs\预标注候选\160-003-mac.tif,2.27,0,15
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\162-001.jpg,outputs\预标注候选\162-001-mac.tif,3.724,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\162-002.jpg,outputs\预标注候选\162-002-mac.tif,2.196,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\162-B.jpg,outputs\预标注候选\162-B-mac.tif,2.072,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\166-002.jpg,outputs\预标注候选\166-002-mac.tif,2.784,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\166-003.jpg,outputs\预标注候选\166-003-mac.tif,2.884,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\220-B-004.jpg,outputs\预标注候选\220-B-004-mac.tif,1.614,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\245-002.jpg,outputs\预标注候选\245-002-mac.tif,1.746,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\299-001.jpg,outputs\预标注候选\299-001-mac.tif,2.413,0,9
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\44-B.jpg,outputs\预标注候选\44-B-mac.tif,1.968,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\52-B-002.jpg,outputs\预标注候选\52-B-002-mac.tif,1.277,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\83-B.jpg,outputs\预标注候选\83-B-mac.tif,1.6,0,7
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\88-001.jpg,outputs\预标注候选\88-001-mac.tif,3.366,0,6
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\88-002.jpg,outputs\预标注候选\88-002-mac.tif,3.037,0,12
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\88-003.jpg,outputs\预标注候选\88-003-mac.tif,2.02,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\90-001.jpg,outputs\预标注候选\90-001-mac.tif,2.403,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\9.15\90-002.jpg,outputs\预标注候选\90-002-mac.tif,2.466,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\1001-001.jpg,outputs\预标注候选\1001-001-mac.tif,0.561,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\1001-002.jpg,outputs\预标注候选\1001-002-mac.tif,0.679,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\1001-003.jpg,outputs\预标注候选\1001-003-mac.tif,0.783,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\13-GG-004.jpg,outputs\预标注候选\13-GG-004-mac.tif,0.654,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\16-NS-003.jpg,outputs\预标注候选\16-NS-003-mac.tif,0.413,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\20-CL-002.jpg,outputs\预标注候选\20-CL-002-mac.tif,0.717,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\2005-001.jpg,outputs\预标注候选\2005-001-mac.tif,0.393,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\2005-002.jpg,outputs\预标注候选\2005-002-mac.tif,0.532,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\9.8校准\2005-003.jpg,outputs\预标注候选\2005-003-mac.tif,0.426,0,0
